kalenderId;luftfeuchtigkeit;klavierstimmungVorher;klavierstimmungNachher;resonanzboden;stege;saiten;stimmwirbel;stimmstock;hammerkoepfe;mechanik;daempfer;tastatur;oberflaeche;rahmen;anmerkungen;oertlichkeit;transport;nacharbeit;zahlungsart;kostenvoranschlag
12660;;;; ;;;;;;;;;;;;;;;;false
12661;;439;439; ;;;;;;;;;;;;;;;;false
12662;;439;439; ;;;;;leicht eingespielt;;;;;;;;;;;false
12787;;;; ;;;;;;;;;;;;;;;Rechnung;false
12842;;437;443; ;;;;;;;;;;;;;;;Bar bezahlt;false
12855;;;; ;;;;;;;;;;;;;;;;false
12857;;;; ;;;;;;;;;;;;;;;;false
13080;;;; ;;;;;;;;;;;;;;;;false
13087;;;; ;;;;;;;;;;;;;;;;false
13202;;;; ;;;;;;;;;;;;;;;;false
13208;;;; ;;;;;;;;;;;;;;;;false
13320;;;; ;;;;;;;;;;;;;;;;false
13441;;;; ;;;;;;;;;;;;;;;;false
13451;;;; ;;;;;;;;;;;;;;;;false
13500;;;; ;;;;;;;;;;;;;;;;false
13501;;;; ;;;;;Scheitel aufgepasst;;;;;;;;;;Rechnung;false
13571;;;; ;;;;;;;;;;;;;;;;false
13622;Dachgeschoss;400;400; große Risse die scheppern;ok;stark verrostet;teilweise locker;ok;stark eingespielt;halb englisch;eingespielt;leicht verschmutzt;schwarz, teilweise abgeschlagen;;;;;;Bar bezahlt;false
13631;;;; ;;;;;;;;;;;Silent System eingebaut;;;;Bar bezahlt;false
13680;;;; ;;;;;;;;;;;Mechanik überholung 1680,-- + Stimmung 125,--;;;;;false
13921;;;; ;;;;;;;;;;;;;;;;false
13922;26;440;440; ;;;;;;;;;;;alles okay;;;;;false
14041;;437;437;ok;ok;ok;ok;ok;stark eingespielt;regulationsbedürftig;reg bed;reg bed;ok;;Moderator ist durch;;;;Bar bezahlt;false
14043;;442;442; ;;;;;;wieder eingebaut;;;;;alles okay;;;;;false
14101;;440;440; ;;;;;;;;;;;;;;;Bar bezahlt;false
14105;;435;435; ;;;;;;;;;;;;;;;Bar bezahlt;false
14107;;435;435; ;;;;;;;;;;;;;;;;false
14220;;;; ;;;;;;;;;;;;;;;;false
14409;;439;440; ;;;;;;;;;;;Stimmung war durcheinande. Pedal geölt;;;;Bar bezahlt;false
14461;;443;443; ;;;;;;geseift;;;;;bei nächster Stimmung Scheitel machen;;;;Bar bezahlt;false
14467;;442;442; ;;;;;;;;;;;alles okay;;;;;false
14520;;;; ;;;;;;;;;;;;;;;;false
14572;;;; ;;;;;;;;;;;;;;;;false
15121;;441;441; ;;;;;;;;;;;Lyra montiert und gestimmt;;;;;false
15127;;;; ;;;;;;;;;;;;;;;;false
15541;;438;438; ;;;;;;;;2 Beläge geleimt;;;alles ok;;;;Bar bezahlt;false
15545;50;443;443; ;;;;;;;;;;;alles ok;;;;;false
15602;;437;437; ;;;;;;;;Fallen richten;;;"alles ok!
Klavier wird von der Sonne bestrahlt!";;;;Bar bezahlt;false
15611;;433;440; ;;;;;;;;;;;Einbau Silent System;;;;Bar bezahlt;false
15661;47;442;442; ;;;;;;;;;;;alles ok;;;;;false
15666;;438;438; ;;;;;;;;;;;alles ok;;;;;false
15719;;;; ;;;;;;;;;;;;;;;;false
15720;;;; ;;;;;;;;;;;;;;;;false
15721;;436;438; ;;;;;;;;;;;Flügel steht neben Heizkörper der in Betrieb ist!;;;;Rechnung;false
15961;;433;435; ;;;;;;;;;;;alles ok;;;;Bar bezahlt;false
15965;;433;435; ;;;;;;;;;;;alles ok;;;;Bar bezahlt;false
16012;;;; ;;;;;;;;;;;;;;;;false
16013;;;; ;;;;;;;;;;;;;;;;false
16015;;;; ;;;;;;;;;;;;;;;;false
16020;;;; ;;;;;;;;;;;;;;;;false
16021;;437;437; ;;;;;leicht eingespielt;;;;;;;;;;Bar bezahlt;false
16091;;;; ;;;;;;;;;;;;;;;;false
16382;;440;440; ;;;;;;;;;;;alles ok;;;;Bar bezahlt;false
16385;;442;442; ;;;;;;;;;;;alles ok;;;;;false
16441;48;441;442; ;;;;;;;;;;;alles ok;;;;Bar bezahlt;false
16444;;435;435; ;;;;;;;;;;;sehr happy;;;;;false
16502;50;442;442; ;;;;;;;;;;;alles ok;;;;Bar bezahlt;false
16506;;;; ;;;;;;;;;;;;;;;;false
16562;;;; ;;;;;;;;;;;"es bleiben keine Tasten hängen!!!
Aussage kam von einem "" wichtigem Pianisten """"";;;;;false
16568;;437;437; ;;;;;;;;;;;alles ok;;;;Bar bezahlt;false
16612;;;; ;;;;;;;;;;;;;;;;false
16625;;444;442; ;;;;;;;;;;;alles ok;;;;Rechnung;false
16677;;;; ;;;;;-;;-;KS;S hg;;;;;;;false
16801;;441;441; ;;;;;;;;;;;1 gebrochene Taste zum leimen mitgenommen;;;;Bar bezahlt;false
16862;;;; ;;;;;;;;;;;;;;;;false
16922;;440;440; ;;;;;;;;;;;alles ok;;;;Bar bezahlt;false
16981;;;; ;;;;;;;;;;;;;;;;false
17041;;;; ;;;;;;;;;;;;;;;;false
17226;;441;441; ;;;;;;Steigung nachgestellt,untergestellt;;Waagebalkenstifte geschmiert;;;alles ok;;;;Bar bezahlt;false
17281;;;; ;;;;;;;;;;;Pedal quietschen behoben;;;;;false
17283;;;; ;;;;;;;;;;;geleimte Taste eingebaut;;;;Bar bezahlt;false
17287;;;420;mehrere Risse;ok;neu;neu;ok;leicht eingespielt;regulationsbedürftig;ok;ok;ok, braun, ev. Mahagoni;;Stimmung war sehr tief, mit Stimmgabel nicht messbar;;;;Bar bezahlt;false
17331;;;; ;;;;;;;;;;;;;;;;false
17401;;442;442; ;;;;;;;;;;;alles ok;;;;Bar bezahlt;false
17407;;;; ;;;;;;;;;;;;;;;;false
17462;;;; 2 Risse;ok;original;manche ganz locker;2 Risse;eingespielt;Regulations und Reparaturbedürftig;Oberdämpfung;ok;ok;;;;;;Bar bezahlt;false
17641;;;; ;;;;;nachintoniert von mitte bis Disk.;;;;;;"Pedal Quitschen behoben
sehr zufrieden";;;;;false
17642;;;; ;;;;;;;;;;;;;;;;false
17643;;;; ;;;;;;;;;;;;;;;;false
17644;;;; ;;original;teilweise sehr locker, mache nachgeschlagen;;stark eingespielt;;;;;;Putzfrau ist anwesend(0664 465 95 63);;;;Bar bezahlt;false
17645;;;; ;;;;;;;;;;;;;;;;false
17646;;;; ;;;;;;;;;;;nachgestimmt, wieder ok;;;;;false
17708;;;; ;;;;;;;;;;;;;;;;false
17758;;;; ;;;;;;;;;;;;;;;;false
17760;;;; ;;;;;;;;;;;;;;;;false
17766;;439;441; ;;;;;;;;;;;alles okay;;;;Bar bezahlt;false
17827;;435;435; ;;;;;stark eingespielt;;;;;;;;;;Bar bezahlt;false
17828;;;; ;;;;;;;;;;;;;;;;false
17829;;;; ;;;;;stark eingespielt;eine Kapsel gebrochen;;;;;alles ok;;;;Bar bezahlt;false
17881;;;; ;;;;;Disk. Nachintoniert, Scheitel aufgepasst;wieder eingebaut und edal eingestellt;;;;;;;;;Bar bezahlt;false
17887;;435;435; ;;;;;;;;;deckel und Karnies zur Repmitgenommen;;wnscht klavierstockerl in passender Farbe;;;;Bar bezahlt;false
18061;;433;433; ein Riss;ok;original;ok;kleine Oberflächenrisse;eingespielt;rep. Bed.;re. Bed.;ok;braun;;;;;;Bar bezahlt;false
18064;;436;436;ein paar Risse;ok;original;original;ok;eingespielt;Rep bed.;"-""-";;ok, braun;;;;;;Bar bezahlt;false
18066;;435;435; ;;;;;;;;;;;;;;;Bar bezahlt;false
18122;;437;440; ;;;;;leicht eingespielt;;;;;;;;;;Bar bezahlt;false
18125;;435;435;mehrere Risse;ok;original;original;ok;eingesielt;rearatur bedürftig;"-""-";"-""-";"-""-";;;;;;Bar bezahlt;false
18172;;;; ;;;;;;;;;;;;;;;;false
18174;;;; ;;;;;;;;;;;;;;;;false
18185;;;; ;;;;;;;;;;;;;;;;false
18186;;439;440;ok;ok;ok;ok;ok;leicht eingesielt;ok;ok;ok;ok;;;;;;Bar bezahlt;false
18242;;441;442; ;;;;;;;;;;;alles okay;;;;Bar bezahlt;false
18244;;;; ;;;;;;;;;;;;;;;;false
18247;;;; ;;;;;;;;;;;;;;;;false
18300;;;; ;;;;;;;;;;;;;;;;false
18301;;441;442; ;;;;;leicht eingespielt;;;;;;;;;;;false
18305;;;; ;;;;;;;;;;;;;;;;false
18485;;;; ok;ok;ok;ok;ok;leicht eingespielt, ein wenig nachintoniert;evtl. überholen;ok;ok;;;;;;;Bar bezahlt;false
18542;;434;442; ok;ok;im Disk. Eigenschwebungen;alle tiefer geschlagen;soweit ok;Schrauben nachgezogen;Schrauben nachgezogen;ok;ok;ok;;kleiner Riß im Rahmen(wissen nur wir);;;;Bar bezahlt;false
18545;;440;442; ok;ok;ok;ok;ok;stark eingespielt;mitgenommen;nachsannen;eher locker;ok;;;;;;;false
18605;;;; ;;;;;;;;;;;;;;;;false
18663;;438;438; ;;;;;;leichte Regulationsmängel;;;;;sonst alles okay;;;;Bar bezahlt;false
18666;;;; ok;;;;;stark eingesielt;;;;;;;;;In zwei Wochen anrufen für Mechanik Überholung;Rechnung;false
18712;;;; ;;;;;;;;;;;;;;;;false
18902;;437;437; ;;;;;leicht eingespielt;;;;;;;;;;Bar bezahlt;false
18912;;440;442; ;;;;;;;;;;;;;;;Erlagschein;false
18962;;;; ok;ok;original;original;;abgezogen und nach intoniert;nachgespannt und Achsen kontrolliert und geölt;ok;Fallen gerichtet, Waagebalkenstifte und Vorderstifte geölt;;;Rechnung Nr.:23-03/2015;;;Mechanik eingebaut;Bar bezahlt;false
18968;;;; ok;ok;6 Saiten gerissen;locker;ok;;;;;;;wurde am 03.12.2014 von Arad Hatnagy gestimmt;;;;Rechnung;false
19021;;;; ;;;;;;;;;Deckel und Karnies neu lackiert, geliefert und montiert;;Kundin ist sehr zufrieden;;;;Bar bezahlt;false
19074;;;; ;;;;;;;;;;;;;;;;false
19077;;;; ;;;;;;;;;;;;;;;;false
19143;45;441;442; ;;;;;;;;;;;alles okay;;;;Bar bezahlt;false
